IOT,Ah,Capacity,CellInSeries
1,1,0,110
181,510,120,120
126,480,113,120
180,510,120,120
196,510,120,120
57,480,113,120
97,510,120,120
179,510,120,120
156,510,120,120
4,850,200,120
11,850,200,120
157,510,120,120
154,480,113,120
121,480,113,120
158,510,120,120
172,480,113,120
178,510,120,120
171,510,120,120
173,510,120,120
166,510,120,120
161,510,120,120
169,510,120,120
184,510,120,120
182,510,120,120
183,510,120,120
159,510,120,120
153,510,120,120
165,510,120,120
194,510,120,120
198,510,120,120
189,510,120,120
150,510,120,120
149,510,120,120
185,510,120,120
197,510,120,120
164,510,120,120
148,510,120,120
92,480,113,120
129,510,120,120
162,510,120,120
168,510,120,120
170,510,120,120
8,510,120,120
12,510,120,120
14,510,120,120
151,480,113,120
144,510,120,120
155,510,120,120
5,1275,300,120
174,510,120,120
160,480,113,120
152,480,113,120
163,510,120,120
188,510,120,120
55,850,200,120
187,510,120,120
186,510,120,120
143,510,120,120
190,510,120,120
193,510,120,120
147,600,141,120
62,510,120,120
122,480,113,120
79,850,200,120
145,510,120,120
192,510,120,120
176,510,120,120
127,510,120,120
139,510,120,120
167,510,120,120
124,480,113,120
191,510,120,120
177,510,120,120
